S. No,Category,State/UT,2016,2017,2018,Percentage Share of State/UT (2018),Mid-Year Projected Population (in Lakhs) (2018)+,Rate of Total Cyber Crimes (2018)++,2016 TO 2017 CHANGE,2017 TO 2018,MAX OF ALL,MIN OF ALL ,AVERAGE
1,State,Andhra Pradesh,616,931,1207,4.4,520.3,2.3,315,276,1207,616,918
2,State,Arunachal Pradesh,4,1,7,0,14.9,0.5,-3,6,7,1,4
3,State,Assam,696,1120,2022,7.4,340.4,5.9,424,902,2022,696,1279.333333
4,State,Bihar,309,433,374,1.4,1183.3,0.3,124,-59,433,309,372
5,State,Chhattisgarh,90,171,139,0.5,284.7,0.5,81,-32,171,90,133.3333333
6,State,Goa,31,13,29,0.1,15.3,1.9,-18,16,31,13,24.33333333
7,State,Gujarat,362,458,702,2.6,673.2,1,96,244,702,362,507.3333333
8,State,Haryana,401,504,418,1.5,284,1.5,103,-86,504,401,441
9,State,Himachal Pradesh,31,56,69,0.3,72.7,0.9,25,13,69,31,52
10,State,Jammu & Kashmir,28,63,73,0.3,134.3,0.5,35,10,73,28,54.66666667
11,State,Jharkhand,259,720,930,3.4,370.5,2.5,461,210,930,259,636.3333333
12,State,Karnataka,1101,3174,5839,21.4,654.5,8.9,2073,2665,5839,1101,3371.333333
13,State,Kerala,283,320,340,1.2,350,1,37,20,340,283,314.3333333
14,State,Madhya Pradesh,258,490,740,2.7,814.7,0.9,232,250,740,258,496
15,State,Maharashtra,2380,3604,3511,12.9,1213.9,2.9,1224,-93,3604,2380,3165
16,State,Manipur,11,74,29,0.1,30.8,0.9,63,-45,74,11,38
17,State,Meghalaya,39,39,74,0.3,32,2.3,0,35,74,39,50.66666667
18,State,Mizoram,1,10,6,0,11.8,0.5,9,-4,10,1,5.666666667
19,State,Nagaland,2,0,2,0,21.3,0.1,-2,2,2,0,1.333333333
20,State,Odisha,317,824,843,3.1,435.5,1.9,507,19,843,317,661.3333333
21,State,Punjab,102,176,239,0.9,297,0.8,74,63,239,102,172.3333333
22,State,Rajasthan,941,1304,1104,4.1,765.9,1.4,363,-200,1304,941,1116.333333
23,State,Sikkim,1,1,1,0,6.6,0.2,0,0,1,1,1
24,State,Tamil Nadu,144,228,295,1.1,754.6,0.4,84,67,295,144,222.3333333
25,State,Telangana,593,1209,1205,4.4,370.3,3.3,616,-4,1209,593,1002.333333
26,State,Tripura,8,7,20,0.1,39.6,0.5,-1,13,20,7,11.66666667
27,State,Uttar Pradesh,2639,4971,6280,23,2230,2.8,2332,1309,6280,2639,4630
28,State,Uttarakhand,62,124,171,0.6,110.6,1.5,62,47,171,62,119
29,State,West Bengal,478,568,335,1.2,965,0.3,90,-233,568,335,460.3333333
State,State,Total State(s),12187,21593,27004,99.1,12997.9,2.1,9406,5411,27004,12187,20261.33333
30,Union Territory,A & N Islands,3,3,7,0,4,1.8,0,4,7,3,4.333333333
31,Union Territory,Chandigarh,26,32,30,0.1,11.7,2.6,6,-2,32,26,29.33333333
32,Union Territory,D&N Haveli,1,1,0,0,5.3,0,0,-1,1,0,0.666666667
33,Union Territory,Daman & Diu,0,0,0,0,4,0,0,0,0,0,0
34,Union Territory,Delhi UT,98,162,189,0.7,195.6,1,64,27,189,98,149.6666667
35,Union Territory,Lakshadweep,0,0,4,0,0.7,6,0,4,4,0,1.333333333
36,Union Territory,Puducherry,2,5,14,0.1,14.8,0.9,3,9,14,2,7
Union Territory,Union Territory,Total UT(s),130,203,244,0.9,236,1,73,41,244,130,192.3333333
Total (All India),Total (All India),Total (All India),12317,21796,27248,100,13233.8,2.1,9479,5452,27248,12317,20453.66667
